V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
624.0501098632812,563.55347,550.80884,514.43024,531.44995,490.8769,495.23264,489.42496,477.97095,536.8543,554.116,619.533,718.74744,768.99994,808.2018,825.46344,836.43353,849.01685,850.9527,853.0499,805.2979,752.78687,722.4579,676.7981,632.2978,577.3467,543.9526,524.9163,535.2411,502.81488,496.8459,486.52112,497.6525,524.513,570.89374,622.2755,711.6895,738.429,802.79736,829.0126,848.53284,839.8213,858.05096,833.20703,802.0714,763.6763,737.46106,716.16626
2839.46630859375,2570.1758,2517.9253,2307.9187,2381.2703,2213.466,2228.873,2173.9434,2104.276,2338.7332,2375.5764,2642.8574,3027.4507,3278.4036,3459.438,3536.139,3623.5579,3693.225,3703.2734,3732.0781,3538.8184,3340.5347,3233.3542,3085.8975,2873.4626,2635.6562,2480.0771,2383.2798,2414.4292,2244.9502,2234.2322,2141.1191,2205.4275,2267.726,2446.5833,2681.7102,3019.8728,3127.8486,3417.5706,3556.5703,3656.3818,3640.9746,3735.4275,3645.6638,3543.1726,3411.5417,3296.9927,3231.5122
1127.941162109375,1042.5934,1031.0387,952.7078,966.4771,925.4581,922.1843,897.1493,860.17444,936.33875,925.84326,1004.126,1097.839,1184.0896,1237.7224,1273.8306,1313.6941,1342.3882,1334.4924,1358.9498,1312.0573,1251.7805,1227.612,1214.6613,1133.7004,1070.5171,1023.7689,972.3507,980.82416,918.33276,919.1031,885.2095,899.4602,898.30475,950.9746,1026.4169,1105.4337,1147.1267,1242.633,1283.5558,1313.1165,1317.1605,1349.706,1328.7152,1321.0121,1285.7704,1253.2249,1230.9822
5413.4755859375,5234.5967,4957.873,4739.0938,4480.527,4131.736,3906.6804,3780.7031,3623.792,3587.9268,3657.8643,3761.874,3935.821,4159.083,4375.6206,4702.276,4815.8335,5014.1367,5296.0166,5465.4805,5481.1714,5491.931,5552.454,5572.18,5504.9326,5279.4287,4972.8916,4720.377,4459.68,4188.6724,3962.272,3691.9365,3708.0757,3706.2827,3713.4556,3788.773,3940.7527,4168.9463,4536.5664,4701.4355,4718.3594,5020.189,5297.3613,5403.613,5547.074,5508.519,5495.966,5601.769
3071.82421875,2914.2004,2667.4504,2464.3623,2228.8281,1908.5736,1699.0764,1584.5139,1442.7126,1401.8547,1461.1388,1557.2751,1709.0906,1904.5679,2105.2527,2406.9807,2505.9023,2697.493,2950.0513,3105.4717,3121.895,3137.1167,3196.0002,3214.827,3159.5486,2945.2444,2679.167,2443.6328,2202.1902,1956.2412,1753.1531,1505.2013,1519.6218,1509.207,1515.6161,1582.1104,1712.2952,1915.3833,2247.4543,2407.882,2427.2095,2695.8906,2949.6506,3050.594,3180.3782,3149.5344,3143.526,3240.4634
5330.4580078125,5417.7227,5441.851,5699.221,5764.3677,6016.611,6337.519,6635.405,6830.041,6868.2446,7000.549,7099.8774,7019.0474,7085.4004,6893.1772,6726.2886,6371.6006,6081.858,5789.7026,5760.3467,5630.455,5410.082,5470.805,5460.7515,5407.669,5568.123,5473.62,5498.1504,5887.2217,6245.743,6461.8813,6534.2666,6779.7734,7002.157,6976.4204,7144.9175,7089.422,7021.8623,6858.593,6552.564,6317.563,6051.195,5789.301,5663.8325,5591.045,5525.094,5502.9766,5429.385
43305.5859375,42015.777,39809.62,37975.277,35818.137,32939.75,31037.828,29839.11,28505.578,28082.928,28374.41,29022.957,30167.025,31620.793,33333.25,36031.285,37058.305,38708.367,41130.402,42558.664,42992.242,43342.023,43986.926,44449.656,43914.055,42205.242,39966.293,37841.773,35656.0,33355.113,31405.824,29095.828,29110.402,28884.504,28891.791,29154.125,30167.025,31821.188,34772.445,36153.344,36270.844,38697.434,41134.043,42059.5,43451.33,43444.04,43535.13,44533.457
28109.517578125,25754.543,25267.305,24305.57,24897.898,23321.545,23487.14,23563.57,23226.008,25649.451,26544.31,29213.76,33217.535,34840.066,36266.742,36945.055,37085.17,37384.523,37569.227,37403.63,35384.625,33228.684,31983.523,29867.787,28337.213,26225.855,25082.602,24375.63,24913.82,23891.58,23506.25,23614.523,23910.688,25378.766,27178.035,29099.912,32723.932,33891.07,36097.96,37129.758,37709.344,37155.234,37747.56,36661.63,35158.52,33477.08,32534.451,31364.129
35257.609375,32871.06,32413.242,30516.998,31157.941,29681.115,29811.074,29314.861,28676.873,30738.521,31042.748,33396.81,36765.445,39008.746,40615.53,41303.73,42098.266,42730.344,42830.77,43084.785,41374.62,39640.83,38716.332,37445.523,35563.312,33448.496,32070.62,31190.43,31462.166,29952.852,29852.426,29001.775,29586.598,30100.533,31665.969,33754.2,36713.39,37678.125,40234.51,41483.906,42375.906,42257.76,43096.598,42316.836,41448.46,40287.676,39283.434,38713.38
420.5765380859375,406.98013,405.07675,393.363,394.80746,388.69858,388.36755,384.305,379.0688,390.82016,389.39072,401.60852,416.72653,430.27216,438.51767,444.71683,449.96808,454.48203,454.1209,457.6719,450.13358,439.75146,435.88452,433.18365,422.06802,411.32858,404.01596,396.44754,396.73343,387.13376,387.07355,383.07117,384.18463,385.1476,393.4232,404.4824,418.02805,424.02408,439.4656,445.33374,450.22388,451.0815,455.9566,453.18805,451.1417,445.69485,440.38342,437.08826
