V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
7058.103515625,6696.283,6174.241,5842.353,5733.191,5706.781,5594.097,5328.2344,5363.4478,5129.2773,5534.234,6404.8906,6773.313,6501.728,5819.4644,5689.174,5433.875,5372.251
2267.42041015625,2216.3596,2155.0864,2002.99,1975.1781,1937.3713,2016.0269,1989.5186,2002.5554,1903.0409,1937.3713,2199.8462,2217.2285,2120.5388,2087.0776,2045.7942,1871.7524,1859.5847
13327.95703125,13388.578,13447.398,13413.187,13446.798,13514.622,13595.05,13641.266,13641.266,13649.669,13593.249,13565.039,13527.227,13639.465,13670.676,13625.66,13669.476,13745.102
6568.37060546875,6568.1426,6553.0864,6569.169,6574.5303,6579.4346,6592.2095,6579.093,6562.2114,6557.421,6559.36,6574.644,6585.936,6563.808,6567.9146,6573.96,6579.777,6581.1455
4338.39306640625,4350.8574,4343.677,4334.152,4338.17,4343.156,4315.3247,4337.3516,4332.812,4325.8174,4320.1616,4353.313,4334.97,4330.431,4343.751,4331.8447,4344.1973,4344.979
11407.8251953125,11388.535,11318.66,11341.523,11358.385,11383.1045,11313.23,11371.245,11320.946,11330.663,11328.663,11363.814,11400.538,11368.673,11338.38,11366.101,11382.391,11391.25
1110.9149169921875,1112.5267,1108.6483,1103.0068,1106.2306,1105.072,1095.25,1104.2661,1099.7832,1102.1002,1102.1002,1111.066,1107.792,1104.2661,1106.9357,1106.029,1113.2319,1113.0304
1375.383056640625,1376.4106,1365.407,1356.5869,1363.8656,1364.2938,1351.1921,1374.6552,1367.976,1358.0427,1357.6145,1373.7561,1367.4622,1358.9846,1365.1501,1352.2197,1369.5173,1368.404
5444.875,5576.609,5615.526,5584.7812,5480.6787,5323.6484,5152.8276,5106.1514,5066.0186,4995.968,5140.058,5322.968,5421.914,5548.005,5582.057,5538.8594,5471.7275,5345.6367
6512.66845703125,6498.0254,6503.5166,6474.231,6458.673,6458.673,6430.3027,6442.1997,6438.539,6461.4185,6455.9272,6465.994,6498.941,6442.1997,6448.606,6451.3516,6433.963,6456.843
11941.9365234375,12076.111,12607.563,12835.279,12998.271,13033.313,12824.444,12973.834,13041.152,13003.344,12888.534,12555.001,12058.59,12183.3125,12656.266,12891.762,12968.301,12993.199
2766.99951171875,2763.0457,2756.771,2753.132,2750.3801,2750.6206,2740.7732,2740.1433,2741.5688,2746.874,2748.4238,2751.6235,2754.2593,2751.2256,2748.4736,2743.7905,2740.3423,2742.2156
2172.42431640625,2170.3904,2163.8928,2158.4927,2155.2617,2152.134,2145.8147,2147.2397,2148.9639,2150.6736,2155.9243,2160.5444,2162.201,2160.2202,2156.188,2150.973,2146.5415,2145.43
4795.9423828125,4891.9277,5114.4316,5222.8564,5275.0557,5236.336,5138.179,5267.0947,5294.4155,5272.342,5112.17,4955.255,4884.057,4960.7734,5175.361,5263.476,5287.902,5234.979
2698.403564453125,2690.0447,2674.5518,2669.8376,2669.2114,2668.2896,2669.0425,2669.134,2675.6914,2680.3774,2691.3394,2700.1765,2695.2515,2688.6235,2678.0273,2674.636,2671.6177,2671.9836
13681.955078125,13757.273,14177.646,14382.188,14538.733,14546.329,14310.878,14446.115,14531.139,14515.948,14536.624,14282.396,13747.357,13820.356,14217.415,14416.578,14494.851,14532.826
7158.11474609375,7295.714,7847.833,8096.801,8291.328,8356.9375,8172.6206,8285.457,8353.363,8291.328,8197.384,7828.5273,7284.7363,7395.7856,7891.551,8157.0483,8240.016,8294.902
6534.494140625,6466.821,6337.366,6274.687,6239.844,6214.4062,6184.9507,6173.893,6209.4214,6256.128,6351.4746,6483.618,6486.8813,6433.468,6317.336,6273.3164,6239.3003,6221.204
4138.87255859375,4251.58,4990.1357,4021.5835,3118.0903,2463.3784,2313.5598,2765.192,2771.7207,2783.1748,2880.7056,3693.5403,3986.7632,3922.6208,4489.824,3991.345,3134.355,2612.0515
3326.49755859375,3228.9136,3595.8357,3360.6106,3508.9636,3345.9316,3535.6855,3945.0808,3158.2065,3288.8699,3091.8413,3327.3247,3228.9136,3148.6963,3292.5913,3374.3594,3415.7085,3100.938
1959.3046875,2068.3455,2183.8677,1672.9774,1308.7775,1047.137,1155.987,1262.8832,1227.7595,1291.4778,1363.4974,1795.3623,1949.7732,1958.5421,1965.4048,1653.7236,1347.6959,1163.7075
1377.163330078125,1354.084,1442.957,1181.8492,973.39154,821.0177,935.2308,855.1201,671.0013,656.3613,671.6902,1145.8523,1290.1848,1233.8641,1248.5042,1185.4662,920.6554,810.3391
7825.0888671875,7932.368,6596.4214,5338.373,5021.3555,5023.7666,6548.5073,6874.339,5481.2114,4996.0425,4774.251,6701.064,7916.698,7355.59,6141.764,5543.289,4950.238,4729.652
12188.984375,12172.108,12223.502,12245.747,12262.622,12313.248,12383.817,12500.411,12532.628,12548.736,12644.619,12744.337,12615.471,12669.165,12646.152,12661.494,12707.518,12709.052
6607.45654296875,6626.827,6657.125,6667.059,6692.3896,6712.2573,6740.5684,6745.535,6752.9854,6765.403,6790.237,6818.0513,6825.9985,6847.8525,6865.7334,6865.2363,6874.177,6876.1636
18128.59765625,18208.154,18313.346,18354.008,18440.637,18502.516,18605.055,18688.148,18723.506,18774.775,18856.102,18963.945,19001.07,19093.004,19110.684,19128.361,19172.56,19181.4
3417.629638671875,3420.927,3419.9573,3424.0305,3423.6426,3429.6553,3434.3105,3431.983,3426.164,3424.4185,3418.2114,3412.3926,3413.7505,3409.6772,3411.035,3417.6296,3422.6726,3430.4312
2519.651611328125,2437.3066,2475.9473,2496.2222,2538.8013,2461.4192,2395.712,2329.643,2353.595,2474.5608,2474.5205,2516.5623,2502.8958,2435.4177,2471.607,2500.291,2535.4053,2466.925
8886.046875,9101.222,9214.823,9852.495,11397.977,11578.402,11440.744,9769.048,9582.023,9850.782,9218.164,9107.235,9269.285,9081.174,9596.224,10438.712,11615.824,11645.227
2606.994140625,2544.4553,2558.4534,2508.3342,2589.2979,2498.1777,2550.1077,2528.3818,2477.8652,2600.0447,2657.323,2624.4475,2590.181,2554.5676,2574.0854,2514.6045,2612.475,2548.253
5449.4541015625,5459.771,5518.439,5410.397,5426.6094,5359.7944,5438.2363,5314.76,5379.7734,5495.512,5360.1216,5459.771,5467.9595,5413.1807,5508.081,5480.1597,5386.3237,5346.857
3829.3193359375,3758.7705,3708.5356,3681.1814,3727.6763,3642.24,3791.9182,3549.883,3648.6204,3936.976,3840.7598,3792.065,3811.2788,3752.317,3722.836,3669.301,3696.3618,3754.957
19591.982421875,19956.066,19897.98,19881.213,20752.498,19475.213,18938.82,19270.566,19066.893,19549.467,19991.396,20104.574,19766.84,19993.793,19884.807,19830.912,20465.064,19712.346
4942.5673828125,4952.4194,4756.6147,4650.2974,4601.6543,4398.6147,4420.4224,4486.614,4437.56,4615.611,4681.7,4994.2896,4887.5615,4833.787,4675.5425,4592.213,4477.9937,4403.3867
2447.515625,2435.1497,2425.8306,2432.4614,2472.4263,2438.1963,2428.1604,2435.3289,2401.278,2473.1433,2447.5156,2464.8994,2445.1858,2400.0237,2424.5762,2469.0212,2486.405,2441.4224
3888.818115234375,3879.852,3762.1992,3837.9207,4016.8423,3954.3916,3933.1582,3684.515,3675.7717,3960.7258,4034.1501,3901.4868,3878.6475,3968.7551,3787.8235,3808.792,4058.2383,3946.4512
11234.669921875,11344.142,11123.254,10976.305,11398.092,11020.723,11086.239,10886.357,10845.2705,11483.619,11387.449,11116.592,11321.285,11269.464,11120.293,11238.927,11404.199,11112.149
6323.89111328125,6285.175,5898.592,5966.2007,6272.4624,6175.3833,6065.013,6212.3657,5760.341,6259.7495,6555.61,6716.253,6409.991,6443.507,6186.3623,6173.072,6299.621,6322.1577
2483.6875,2460.073,2478.9785,2497.815,2566.6506,2436.839,2337.1863,2299.8945,2351.4175,2460.073,2491.9285,2526.0693,2491.236,2474.962,2487.4963,2517.967,2550.5845,2450.8625
4914.44189453125,4860.399,4604.4116,4638.976,4834.237,4633.5337,4712.8794,4457.274,4467.204,4840.7295,5242.709,5135.769,4888.089,4893.2446,4618.161,4712.211,4853.7153,4739.901
6817.2021484375,7229.7925,7153.789,6310.842,5507.993,4805.578,4383.611,4240.981,4200.5117,4565.2295,5182.1406,5856.3013,6530.9556,6882.348,6670.131,6069.0127,5521.1953,4997.8076
6760.134765625,6699.277,6538.533,6429.2207,6386.819,6285.709,6255.479,6249.856,6263.681,6316.7334,6490.112,6558.5103,6556.129,6494.411,6403.3896,6363.708,6327.8135,6247.4746
6818.703125,6879.9736,6978.8237,7242.2876,7011.093,6739.46,6443.7266,6197.827,6067.116,6248.4775,6388.9917,6507.448,6656.9487,6518.0684,6812.1675,7127.0986,6864.452,6627.5386
1342.4327392578125,1328.5763,1318.8317,1323.7753,1324.2982,1281.5347,1293.405,1333.9716,1322.8722,1348.85,1300.507,1283.4004,1284.2382,1296.012,1285.0284,1279.4371,1292.9073,1228.9669
