V1,V2,V3,V4,V5,V6,V7,V8
6828.28125,6762.5522,6786.271,6827.4775,6820.241,6768.1807,6778.432,6836.221
7059.3955078125,7037.523,7045.094,7078.639,7045.935,7021.9595,7021.749,7091.678
7175.10400390625,7163.8623,7182.866,7178.8516,7162.524,7148.0703,7154.494,7172.963
7685.67333984375,7679.238,7668.9053,7670.5366,7659.116,7662.0166,7642.4385,7684.948
922.6243286132812,897.7331,1134.5458,1423.8081,994.5325,896.74536,1268.1389,1422.03
9839.1513671875,9865.926,9901.114,9935.538,9963.842,9981.437,10002.09,10025.039
3354.002685546875,3355.5842,3343.3486,3362.2432,3372.3145,3377.6416,3364.5737,3387.2136
2608.83056640625,2614.604,2623.5366,2635.6284,2640.2036,2644.1252,2649.681,2659.1582
2490.654296875,2493.031,2495.729,2508.1272,2508.8337,2510.3755,2512.3025,2522.9663
2551.350830078125,2545.674,2558.5967,2558.345,2550.5952,2544.2212,2558.1318,2559.2942
1159.122802734375,1158.6299,1152.732,1153.3495,1157.562,1157.4415,1153.0537,1155.5824
3257.693115234375,3031.6865,3285.161,3388.0334,3289.8845,3051.5107,3316.3025,3419.875
1762.5362548828125,1776.9052,1792.5514,1791.354,1806.4414,1809.6345,1829.9906,1823.285
12623.00390625,12659.561,12788.239,12930.079,13101.163,13064.606,13183.05,13302.955
1261.2984619140625,1249.5406,1315.9664,1301.5662,1274.026,1263.6621,1331.2881,1318.5847
2064.148681640625,2070.6118,2152.5354,2138.7358,2142.7534,2146.247,2220.31,2215.4192
2456.61962890625,2491.2314,2465.955,2504.0898,2506.38,2534.3865,2510.7834,2548.1257
4699.28076171875,4569.239,4872.5273,4770.3306,4710.381,4575.937,4891.2344,4745.0684
5752.23828125,5790.0557,5820.5825,5837.441,5880.7256,5892.572,5913.531,5941.7793
6338.55224609375,6370.3315,6373.0117,6424.7,6449.2046,6473.709,6477.538,6527.6953
9759.556640625,9799.663,9826.957,9877.09,9907.727,9934.464,9955.074,10012.447
5138.95263671875,5124.614,5184.896,5306.923,5205.673,5198.357,5295.5107,5380.959
6056.1171875,6052.2344,6109.8745,6157.0615,6132.2734,6128.0923,6184.8364,6219.1816
2329.220947265625,2326.1184,2343.2087,2335.778,2326.4639,2324.489,2344.0952,2332.819
1374.7969970703125,1375.5424,1382.7354,1374.6232,1371.17,1372.8826,1379.5366,1377.5721
7616.32275390625,6841.745,7173.462,8874.302,7433.694,6586.7954,7858.9624,9602.059
9229.3115234375,9173.17,9222.054,9227.912,9205.7,9166.567,9219.518,9206.706
5044.7509765625,5032.7275,5023.7915,4985.6094,5093.169,5068.4727,5059.049,5078.871
1913.1273193359375,1883.6428,1894.6353,1875.9265,1911.6653,1879.2567,1886.7836,1881.4092
