V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
37060.55859375,36955.043,37229.383,37141.062,37114.49,37233.68,37366.94,37057.43,37114.49,37234.07,37045.707,37288.78,37087.133
3685.976318359375,3673.564,3706.4756,3696.226,3691.8064,3707.181,3723.1665,3685.7883,3692.2766,3707.745,3684.0017,3713.528,3688.8914
9691.671875,9718.402,9668.191,9648.83,9669.203,9694.562,9666.964,9695.067,9690.516,9690.949,9733.213,9694.923,9690.949
2133.878173828125,2091.9565,2130.728,2117.6426,2126.0027,2139.2092,2190.0967,2108.1921,2138.9668,2168.2878,2100.9224,2170.5898,2100.4377
1351.2557373046875,1305.1273,1425.8026,1393.4716,1392.8538,1420.6543,1472.7548,1334.7812,1374.5259,1453.1914,1320.7781,1444.5422,1324.0729
422.1072998046875,399.85602,446.21283,432.43823,432.87973,449.7448,477.5589,412.21783,429.78928,462.19495,410.80505,462.10663,408.33267
3337.765625,3302.7544,3342.2832,3463.4104,3403.2703,3349.3418,3221.4382,3414.5642,3385.4824,3310.3777,3312.919,3342.2832,3452.1165
2935.1259765625,2830.659,2810.6284,2992.7524,2948.685,2908.316,2702.1553,2839.2876,2879.3486,2817.408,2743.4492,2791.5225,2891.9834
6894.7822265625,6810.727,6587.557,6873.931,6733.8394,6758.274,6576.1543,6575.1772,6639.359,6601.892,6554.0005,6507.4116,6726.0205
5070.9951171875,5121.346,5032.263,5010.176,5006.1978,5069.111,5050.5825,5081.0444,5064.9233,5061.3643,5139.5605,5061.9927,5064.819
344.7415466308594,335.51483,354.60217,347.8406,345.09372,353.33435,366.29404,340.65643,348.26318,358.37033,341.14948,359.67334,343.19202
1050.8179931640625,1046.7017,1051.3414,1044.9784,1049.1119,1044.6385,1050.2828,1048.5095,1050.8416,1048.6067,1036.7727,1041.1348,1043.0599
2284.640380859375,2270.7732,2247.9304,2289.7693,2272.4353,2264.647,2250.0676,2248.0254,2238.765,2246.411,2223.6868,2214.64,2252.727
2290.204345703125,2279.217,2253.247,2295.7217,2277.5046,2270.4177,2255.4824,2256.9094,2240.928,2254.6265,2229.4888,2219.762,2253.4849
4193.76123046875,4116.7744,3888.2197,4170.39,3986.5154,4033.9448,3853.1633,3939.7734,3946.3037,3892.0005,3905.4043,3816.0447,4045.974
4193.76123046875,4116.7744,3888.2197,4170.39,3986.5154,4033.9448,3853.1633,3939.7734,3946.3037,3892.0005,3905.4043,3816.0447,4045.974
12084.72265625,12123.167,12050.958,12039.09,12039.09,12085.308,12074.024,12093.999,12079.123,12075.111,12142.724,12071.769,12082.8
4309.88037109375,4288.994,4332.325,4318.7646,4309.101,4329.8315,4358.121,4301.152,4318.141,4341.5215,4301.7754,4346.1973,4309.101
2513.3935546875,2376.0369,2510.7375,2489.8684,2541.4722,2506.5637,2742.1953,2457.6162,2567.6533,2637.0908,2377.5544,2587.3843,2406.7712
3970.300048828125,3889.0454,4026.288,3990.3984,4016.8132,4037.4858,4145.7295,3932.9746,3988.1013,4092.3254,3907.995,4084.5732,3893.065
1700.5009765625,1652.5807,1762.2988,1726.738,1743.4342,1749.2888,1826.0481,1679.2512,1716.9805,1796.5586,1644.341,1785.0664,1635.6676
