V1,V2,V3,V4,V5,V6
7307.798828125,7352.8755,7379.3765,7404.281,7362.967,7364.563
1751.616455078125,1765.144,1806.2678,1900.4199,2044.3534,2225.623
8450.0947265625,8589.33,8846.378,9075.706,9395.757,9612.483
9739.107421875,9891.453,10189.221,10446.823,10805.529,11058.977
6993.255859375,7182.542,7481.763,7771.0654,8224.029,8561.273
4016.005859375,4105.3433,4224.186,4377.453,4597.9272,4806.9272
3586.0390625,3649.7742,3732.9653,3842.3218,4015.413,4185.15
2405.18701171875,2408.4214,2411.2861,2416.9233,2425.795,2441.736
2299.71044921875,2315.3079,2334.9802,2360.9758,2399.337,2435.5903
2300.614013671875,2313.192,2325.898,2344.893,2376.9795,2411.376
1481.7562255859375,1489.9661,1500.2284,1513.9115,1533.8281,1553.2886
1996.0635986328125,2027.5521,2073.236,2123.0498,2196.6091,2259.328
4670.59375,4719.659,4878.0635,5036.966,5148.048,5159.007
5071.501953125,5125.5054,5259.34,5386.913,5484.745,5514.486
5364.537109375,5455.504,5672.8145,5868.8994,6068.016,6199.413
2605.68798828125,2629.66,2679.3813,2728.5103,2709.5483,2673.1326
3838.87744140625,3880.6013,3970.1055,4069.7043,4153.152,4146.086
3200.927490234375,3221.0054,3277.317,3330.8188,3335.5015,3301.668
2966.641357421875,3111.146,3267.593,3470.616,3781.1216,4104.764
6462.97705078125,6553.5933,6684.4834,6828.3193,7016.7437,7200.853
9336.0703125,9589.579,9936.907,10328.15,10843.153,11362.148
4275.1591796875,4368.073,4475.2085,4616.475,4850.6562,5101.9023
9839.72265625,9988.722,10100.471,10309.643,10639.16,11071.832
8760.7919921875,8897.965,9033.68,9243.816,9599.883,10011.402
2353.47607421875,2403.435,2458.6528,2531.4001,2639.6445,2759.2832
7191.345703125,7334.2705,7525.8833,7770.897,8149.411,8553.056
1732.2403564453125,1763.7819,1803.1239,1855.6931,1940.4822,2030.0193
1689.90380859375,1716.541,1751.6537,1798.5715,1873.0347,1951.7354
4138.8974609375,4166.4097,4203.7256,4254.323,4335.2793,4413.7056
4513.2265625,4584.038,4681.404,4791.7515,4962.289,5109.8125
3745.643798828125,3763.6008,3777.3506,3803.8245,3852.4622,3924.2903
5389.89501953125,5431.191,5484.5146,5555.078,5662.1265,5764.364
1275.623291015625,1289.5781,1304.761,1323.0697,1354.4402,1384.6942
1695.8033447265625,1710.9548,1725.4532,1747.005,1782.6633,1819.4971
3381.32421875,3419.3037,3470.1753,3535.6812,3630.1074,3718.9585
1155.935791015625,1162.897,1171.1112,1182.3882,1200.4872,1218.447
3950.08447265625,3991.732,4048.4868,4121.9824,4229.367,4331.4443
4210.23828125,4677.794,5224.553,5973.1533,5709.9937,6162.2197
3738.163818359375,3846.8474,3883.414,3928.6143,3979.9087,4096.7183
4701.0498046875,4799.24,4948.0596,5089.2085,5190.467,5222.1743
14624.61328125,14803.695,15059.369,15313.94,15443.98,15428.553
5678.232421875,5881.0996,6249.7964,6574.7207,7024.228,7376.089
2856.57568359375,2945.6262,3118.9988,3267.1536,3458.6514,3597.3496
10070.5439453125,10318.631,10670.718,10995.722,11392.227,11630.5625
